index,1,2,3,4,5,6,7,8,9,10,11,12
RH,0.79992983,0.870977797,0.887852087,0.9022085,0.90025535,0.892658608,0.862575715,0.848226145,0.840502234,0.781288631,0.803490125,0.859945514
AVP,0.904624775,0.946696298,0.957390378,0.949057459,0.93607864,0.924096413,0.942568268,0.954471947,0.93930829,0.900168375,0.910309259,0.939459356
VPD,0.711620946,0.831977838,0.877518696,0.883663395,0.886108393,0.895434806,0.863613921,0.822435813,0.810565418,0.734327974,0.782466204,0.799332647
DPT,0.909944397,0.946555056,0.951666098,0.943568845,0.936052423,0.922407249,0.942077214,0.956943457,0.942139979,0.891761216,0.912971178,0.940601927
MR,0.901528055,0.945406008,0.956705517,0.947147805,0.93130835,0.91664178,0.93297771,0.94858622,0.932829175,0.89234702,0.911170778,0.937536393
SH,0.901443358,0.943817423,0.956570747,0.947423148,0.931899175,0.916929323,0.932834694,0.948301915,0.933430213,0.892527272,0.910952525,0.935518728
