Unnamed: 0,id,doy,dem,slope,lst,pop,wv,landcover,avp,dpt,mr,rh,sh,vpd,AVP,DPT,MR,RH,SH,VPD,year,month,day
51348,54522,148,21.191406,0.22192383,24.899902,19.736084,1.7053334,13,15.9190635,13.94706434,9.928156,55.79868839,9.830557,12.61039474,18.59732635,16.36492801,11.732374,73,11.596322,6.87846317,2003,5,29
114886,57085,284,251.26562,0.5605469,8.399902,27.95459,1.1245,13,7.349929429,2.568423208,4.544841,67.47798958,4.524279,3.542406687,9.157632847,5.7023718,5.823646,82,5.789928,2.010212088,2003,10,12
80151,54732,84,5.6445312,0.037841797,5,0.41503906,0.14566667,13,5.726401039,-0.894726181,3.535224,57.96590283,3.52277,4.152511839,6.289424771,0.394974084,3.874213,47,3.859261,7.092330061,2003,3,26
58855,54603,80,10.519287,0.01928711,5,2.397705,0.2425,12,6.180866098,0.154498672,3.817512,54.53492429,3.802994,5.152909787,5.520045452,-1.395736663,3.363741,54,3.352464,4.70226094,2003,3,22
118256,57095,94,62.178223,0.052001953,14.75,4.717041,0.676,12,9.508685252,6.246511714,5.892357,61.1947855,5.857841,6.029706089,8.690421106,4.948832827,5.384132,60,5.355298,5.793614071,2003,4,5
127965,58032,270,84.11597,0.48242188,20.449951,5.562256,1.0155,12,19.52847436,17.13398641,12.223456,78.31181637,12.075847,5.40834267,21.53926864,18.69051363,13.602714,82,13.420163,4.72813214,2003,9,28
113983,57081,115,135.41992,0.19970703,17.300049,2.791748,1.5085,12,16.37284765,14.38076045,10.215814,67.476453,10.112506,7.89168749,14.27151321,12.27505171,9.050877,55,8.969694,11.67669263,2003,4,26
119457,57099,249,54.794434,0.02709961,16.399902,59.87329,0.505,13,21.0451572,18.32025235,13.192929,93.48636731,13.021142,1.466314585,20.95058773,18.24851781,13.22304,88,13.050473,2.856898327,2003,9,7
119417,57099,234,54.794434,0.02709961,25.949951,59.87329,4.9835,13,32.81232647,25.5927489,20.816486,85.95841936,20.391996,5.359997677,32.9254848,25.65070027,21.140913,78,20.703228,9.286675201,2003,8,23
44887,54499,201,76.10254,0.6022949,26.050049,54.04248,1.8745,13,24.13492009,20.52111524,15.177122,89.06350004,14.950221,2.963633279,24.43152975,20.71915471,15.611435,79,15.371464,6.494457275,2003,7,21
