Unnamed: 0,id,doy,dem,slope,lst,pop,wv,landcover,avp,dpt,mr,rh,sh,vpd,AVP,DPT,MR,RH,SH,VPD,year,month,day
50975,54521,139,13.358887,0.05419922,20.75,1.3657227,1.042,12,10.29325559,7.401155726,6.383531,33.6375927,6.34304,20.30719695,13.64385004,11.59301493,8.494933,51,8.423377,13.1087971,2003,5,20
114155,57082,17,420.93652,2.2739258,2.6999512,43.849854,0.4365,12,4.429937805,-4.356133525,2.731331,56.2233924,2.723891,3.449234219,4.118373926,-5.32155145,2.638057,51,2.631116,3.956869066,2003,1,18
50202,54519,62,13.98291,0.05029297,-1.8000488,20.855957,0.1185,12,2.946498133,-9.655980174,1.814031,42.98224241,1.810746,3.908654059,2.057457247,-14.13304377,1.248901,32,1.247343,4.37209665,2003,3,4
109369,54922,162,187.9226,0.15234375,22.800049,7.348633,1.7285,13,16.89646158,14.86823934,10.548062,73.03308618,10.437962,6.238890441,15.19200135,13.22895096,9.779436,60,9.684725,10.1280009,2003,6,12
57342,54596,345,48.02466,0.104003906,-2.4499512,1.9509277,0.272,13,2.416687494,-12.14833552,1.48707,48.55434733,1.484862,2.560595956,1.879562564,-15.23346453,1.141164,41,1.139863,2.704736373,2003,12,12
53173,54528,171,5.4902344,0.068115234,28,50.740234,2.124,13,21.0656317,18.33574575,13.206036,53.79181093,13.03391,18.09577844,25.62136918,21.49296424,16.27957,74,16.018791,9.002102685,2003,6,21
18593,53796,160,33.00952,0.03857422,20.449951,10.859375,0.523,12,9.220371864,5.80095698,5.712054,33.50681539,5.679612,18.29752787,11.50502871,9.040139016,7.200462,46,7.148986,13.50590327,2003,6,10
94373,54830,245,38.862793,0.08642578,18.600098,9.717041,0.747,12,22.40382228,19.32078641,14.063916,86.64044653,13.868865,3.454565085,21.11603599,18.37383123,13.234334,86,13.061474,3.437494231,2003,9,3
112952,54940,127,137.65991,1.1921387,14.149902,45.66626,0.8205,13,6.360496583,0.550424194,3.929159,48.81604505,3.913781,6.669023889,5.964512938,-0.336144828,3.719286,42,3.705504,8.236708343,2003,5,8
87471,54809,198,42.47998,0.044433594,25.550049,12.9626465,1.949,12,22.91731371,19.68509254,14.393718,73.94844118,14.189478,8.073621791,24.61251527,20.83896097,15.751048,83,15.506799,5.041117586,2003,7,18
111595,54935,237,118.30347,0.1899414,24.25,10.082031,0.409,12,24.42949915,20.71780612,15.366943,92.28494106,15.134374,2.042316152,24.84258802,20.99015072,15.952946,94,15.702446,1.585697107,2003,8,26
72514,54707,356,29.534424,0.017822266,3.6499023,43.924805,0.379,13,5.433217828,-1.611528778,3.35325,73.85034293,3.342043,1.923847302,5.186425433,-2.242037866,3.193503,67,3.183337,2.554508049,2003,12,23
