station,id,lat,lon
247,54803,36.98,116.02
248,54804,36.3,115.18
249,54805,36.45,115.47
250,54806,36.42,115.97
251,54807,36.15,115.77
252,54808,36.23,115.63
253,54809,36.55,115.28
254,54810,36.87,116.27
255,54811,36.93,116.62
256,54812,36.73,116.72
257,54814,36.53,116.25
258,54815,36.38,116.27
259,54816,36.52,116.8
260,54817,35.98,115.87
261,54818,36.25,116.42
262,54819,36.18,116.8
263,54820,36.82,115.2
264,54821,37,117.2
265,54822,36.87,117.73
266,54823,36.6,117
267,54824,36.63,117.95
268,54825,36.52,117.85
269,54826,36.25,117.1
270,54827,36.17,117.15
271,54828,36.23,117.68
272,54829,36.77,117.87
273,54830,36.82,117.93
274,54831,36.65,118.5
275,54832,36.87,118.8
276,54833,36.97,118.08
277,54834,36.87,118.28
278,54835,36.5,118.55
279,54836,36.18,118.17
280,54837,36.68,118.83
281,54841,36.87,119.42
282,54842,36.78,120
283,54843,36.75,119.2
284,54844,36.42,119.18
285,54846,36.38,119.73
286,54848,35.98,119.42
287,54849,36.22,120.03
288,54851,36.9,120.57
289,54852,36.97,120.73
290,54853,36.17,120.42
291,54855,36.4,120.38
292,54857,36.07,120.33
293,54900,35.7,115.02
294,54901,36.08,115.17
295,54902,35.95,115.15
296,54903,35.85,115.48
297,54904,35.58,115.52
298,54905,35.58,115.93
299,54906,35.25,115.42
300,54907,34.98,116.65
301,54908,35.27,115.1
302,54909,35.08,115.52
303,54910,35.82,116.05
304,54911,35.93,116.4
305,54912,35.77,116.5
306,54913,35.75,116.82
307,54914,35.42,116.08
308,54915,35.43,116.6
309,54916,35.57,116.85
310,54917,35.13,116.33
311,54918,35.6,116.97
312,54919,35.38,116.98
313,54920,35.65,117.28
314,54921,35.42,116.33
315,54922,35.87,117.75
316,54923,35.72,117.93
317,54925,35.5,117.68
318,54927,35.1,117.2
319,54929,35.27,117.97
320,54932,35.77,118.65
321,54935,35.53,118.43
322,54936,35.57,118.83
323,54938,35.05,118.4
324,54939,35.17,118.82
325,54940,35.75,119.2
326,54943,35.88,120
327,54945,35.47,119.55
328,57079,34.95,113.03
329,57081,34.8,113.43
330,57082,34.47,113.02
331,57083,34.72,113.65
332,57084,34.5,113.05
333,57085,34.53,113.33
334,57086,34.38,113.72
335,57087,34.27,113.73
336,57088,34.18,113.5
337,57089,34.07,113.93
338,57090,34.72,113.97
339,57091,34.78,114.3
340,57093,34.85,114.82
341,57094,34.4,114.22
342,57095,34.12,114.15
343,57096,34.53,114.78
344,57098,34.08,114.4
345,57099,34.07,114.85
346,57191,34.52,114.47
347,58001,34.43,115.1
348,58002,34.85,115.58
349,58003,34.95,115.88
350,58004,34.65,115.15
351,58005,34.43,115.53
