id,R2,MAE,RMSE,lon,lat
54423,0.985298709,0.643656793,0.899717373,117.92,40.97
54424,0.9874235,0.662660567,0.956631332,117.12,40.17
54425,0.986135536,0.60019817,0.838555771,117.47,40.4
54428,0.984392367,0.759476318,1.068733404,117.4,40.03
54429,0.985159699,0.70807276,0.996964263,117.95,40.2
54430,0.986520333,0.640635886,0.894200804,118.22,40.78
54431,0.983024684,0.770081653,1.083296219,116.75,39.85
54432,0.985067293,0.652199664,0.931038846,118.47,40.62
54433,0.984193035,0.726669781,1.037100121,116.5,39.95
54434,0.985973409,0.696163743,0.97229107,118.33,40.17
54436,0.984871591,0.69594248,0.982605896,118.95,40.42
54437,0.986883175,0.738002396,1.001881321,118.62,39.5
54438,0.986222612,0.709306363,0.972737827,118.88,39.88
54439,0.987215654,0.702307208,0.973283723,118.72,40.02
54452,0.981466897,0.732366025,1.050287445,119.8,40.8
54453,0.984856046,0.707526947,0.987620743,120.97,40.87
54454,0.982096363,0.830244698,1.150944644,120.3,40.33
54455,0.978637561,0.881951546,1.249310389,120.65,40.62
54499,0.981543147,0.769829925,1.10185676,116.22,40.22
54501,0.984384692,0.643515152,0.918374952,115.68,39.97
54502,0.988549498,0.637496425,0.92000698,116.03,39.48
54503,0.99000903,0.578317494,0.826081508,115.82,39.07
54505,0.983971507,0.712734706,1.019959258,116.1,39.93
54506,0.988854258,0.631203546,0.883118515,115.95,39.32
54507,0.985802324,0.72434318,1.019216291,115.52,39.33
54510,0.988571635,0.661884259,0.919505046,116.95,39.92
54511,0.98531006,0.690121275,0.988291069,116.47,39.8
54512,0.988587952,0.680689857,0.94454283,116.28,39.42
54513,0.986345928,0.699961662,0.987957553,116.2,39.95
54514,0.985111171,0.716887194,1.02681878,116.25,39.87
54515,0.986910713,0.664782595,0.957409027,116.7,39.5
54517,0.984920471,0.727921844,1.00910776,117.2,39.07
54518,0.990547974,0.609599976,0.854710094,116.4,39.17
54519,0.990062175,0.610167009,0.847155403,116.48,39.3
54520,0.989078699,0.661454473,0.921388624,117.08,39.97
54521,0.988144129,0.657436426,0.927755215,116.98,39.7
54522,0.986688574,0.667968111,0.968338254,117.73,39.88
54523,0.986894098,0.730205234,1.006090533,117.07,39.43
54525,0.989184212,0.653400126,0.896973554,117.28,39.73
54526,0.986704947,0.704954478,0.993146725,117.33,39.08
54527,0.987583485,0.664212742,0.939412459,117.05,39.08
54528,0.98645013,0.714110869,1.002168894,117.13,39.23
54529,0.988324921,0.690364159,0.958185951,117.82,39.35
54530,0.987144828,0.716147496,1.023511029,117.77,39.23
54531,0.986917221,0.712606515,0.975836379,118.72,39.73
54532,0.987593294,0.684622727,0.961397015,118.08,39.8
54533,0.986432367,0.706608712,0.997383025,118.1,39.58
54534,0.987949977,0.687545491,0.950488417,118.1,39.65
54535,0.98684879,0.736665941,0.993465749,118.47,39.28
54539,0.983346643,0.831622467,1.117618863,118.88,39.43
54540,0.984903476,0.766580777,1.053900921,119.2,39.73
54541,0.984898039,0.740020462,1.018822712,119.23,39.9
54594,0.987961452,0.672431008,0.943368241,116.35,39.72
